行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
中西區,13940,38.98 ,17042,47.66 ,4779,13.36 ,35761
北區,24044,43.15 ,25526,45.81 ,6151,11.04 ,55721
安平區,8882,40.65 ,10297,47.13 ,2670,12.22 ,21849
安南區,25939,35.37 ,31991,43.62 ,15413,21.01 ,73343
東區,38825,49.76 ,33099,42.42 ,6096,7.81 ,78020
南區,22618,37.98 ,30051,50.46 ,6891,11.57 ,59560
候選人,陳榮盛,許添財,,,,,
當選人,許添財,民進黨,,,,,
