行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
北區,40418,67.59 ,19384,32.41 ,0,0.00 ,59802
東區,52102,71.08 ,21197,28.92 ,0,0.00 ,73299
香山區,19701,68.18 ,9196,31.82 ,0,0.00 ,28897
候選人,林政則,鄭貴元,,,,,
當選人,林政則,國民黨,,,,,
