行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
北竿鄉,0,0.00 ,0,0.00 ,962,100.00 ,962,473
東引鄉,0,0.00 ,0,0.00 ,498,100.00 ,498,192
南竿鄉,0,0.00 ,0,0.00 ,2859,100.00 ,2859,1245
莒光鄉,0,0.00 ,0,0.00 ,581,100.00 ,581,271
候選人,（無）,（無）,,,,,
當選人,陳雪生,親民黨,,,,,
