行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
七美鄉,942,56.04 ,706,42.00 ,33,1.96 ,1681
白沙鄉,2242,43.70 ,2794,54.46 ,94,1.83 ,5130
西嶼鄉,2278,51.77 ,2057,46.75 ,65,1.48 ,4400
馬公市,15931,54.33 ,13122,44.75 ,272,0.93 ,29325
望安鄉,966,42.78 ,1264,55.98 ,28,1.24 ,2258
湖西鄉,2864,41.12 ,4021,57.73 ,80,1.15 ,6965
候選人,王乾發,陳光復,,,,,
當選人,王乾發,國民黨,,,,,
