行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
七堵區,12731,48.23,480,1.82,13188,49.96,26399
中山區,10203,39.53,405,1.57,15204,58.90,25812
中正區,10713,37.80,421,1.49,17207,60.71,28341
仁愛區,9153,38.09,283,1.18,14595,60.73,24031
安樂區,15818,40.23,611,1.55,22888,58.21,39317
信義區,10106,42.30,298,1.25,13489,56.46,23893
暖暖區,7438,42.96,273,1.58,9604,55.47,17315
候選人,許財利,王拓,,,,,
當選人,許財利,國民黨,,,,,
