行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
二崙鄉,5895,35.79 ,10278,62.39 ,300,1.82 ,16473
口湖鄉,6141,35.72 ,10807,62.85 ,246,1.43 ,17194
土庫鎮,7010,45.36 ,8055,52.13 ,388,2.51 ,15453
大埤鄉,5351,43.42 ,6624,53.74 ,350,2.84 ,12325
元長鄉,7239,45.42 ,8353,52.41 ,347,2.18 ,15939
斗六市,25943,51.81 ,23082,46.10 ,1047,2.09 ,50072
斗南鎮,10829,45.30 ,12469,52.16 ,607,2.54 ,23905
水林鄉,5491,33.28 ,10651,64.56 ,356,2.16 ,16498
北港鎮,7274,30.20 ,16211,67.31 ,599,2.49 ,24084
古坑鄉,7955,44.32 ,9604,53.50 ,392,2.18 ,17951
臺西鄉,8892,60.33 ,5606,38.04 ,240,1.63 ,14738
四湖鄉,6288,44.82 ,7518,53.58 ,225,1.60 ,14031
西螺鎮,9360,37.48 ,15117,60.54 ,495,1.98 ,24972
東勢鄉,4415,47.03 ,4726,50.35 ,246,2.62 ,9387
林內鄉,4515,40.90 ,6282,56.91 ,242,2.19 ,11039
虎尾鎮,17970,51.00 ,16344,46.38 ,923,2.62 ,35237
崙背鄉,6937,47.38 ,7436,50.79 ,267,1.82 ,14640
莿桐鄉,6919,41.15 ,9564,56.88 ,330,1.96 ,16813
麥寮鄉,9317,50.76 ,8661,47.19 ,376,2.05 ,18354
褒忠鄉,3949,49.97 ,3804,48.14 ,149,1.89 ,7902
候選人,許舒博,蘇治芬,,,,,
當選人,蘇治芬,民進黨,,,,,
