行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
三義鄉,4582,48.35 ,2957,31.21 ,1856,19.59 ,9476
三灣鄉,1757,38.22 ,1061,23.08 ,1745,37.96 ,4597
大湖鄉,3615,42.92 ,2842,33.74 ,1911,22.69 ,8423
公館鄉,7468,41.30 ,7562,41.82 ,2957,16.35 ,18084
竹南鎮,17763,54.61 ,7967,24.50 ,6578,20.22 ,32525
西湖鄉,2201,42.19 ,1838,35.23 ,1145,21.95 ,5217
卓蘭鎮,3736,37.24 ,3957,39.45 ,2266,22.59 ,10031
苑裡鎮,12228,50.28 ,9076,37.32 ,2833,11.65 ,24322
苗栗市,19798,44.26 ,17706,39.59 ,7019,15.69 ,44728
南庄鄉,2916,47.80 ,1173,19.23 ,1920,31.48 ,6100
後龍鎮,15597,72.87 ,3990,18.64 ,1729,8.08 ,21404
泰安鄉,2273,65.32 ,415,11.93 ,765,21.98 ,3480
通霄鎮,10593,53.53 ,6678,33.75 ,2416,12.21 ,19789
造橋鄉,3654,49.62 ,1751,23.78 ,1909,25.92 ,7364
獅潭鄉,1513,43.82 ,1061,30.73 ,834,24.15 ,3453
銅鑼鄉,4153,41.89 ,3435,34.64 ,2279,22.99 ,9915
頭份鎮,17406,39.44 ,7727,17.51 ,18754,42.50 ,44129
頭屋鄉,3024,41.73 ,2498,34.47 ,1697,23.42 ,7247
候選人,劉政鴻,邱炳坤,,,,,
當選人,劉政鴻,國民黨,,,,,
