行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
中區,5079,53.11,4225,44.18,259,2.71,9563
北屯區,60899,58.87,39477,38.16,3074,2.97,103450
北區,38891,60.15,24089,37.26,1677,2.59,64657
西屯區,48880,60.33,29893,36.89,2250,2.78,81023
西區,29369,57.12,20925,40.69,1126,2.19,51420
東區,18110,52.86,15143,44.20,1007,2.94,34260
南屯區,34596,58.75,22894,38.88,1399,2.38,58889
南區,26843,57.17,18946,40.35,1166,2.48,46955
候選人,胡志強,林佳龍,,,,,
當選人,胡志強,國民黨,,,,,
