行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
大林鎮,7554,39.45 ,11592,60.55 ,0,0.00 ,19146
大埔鄉,1064,46.52 ,1223,53.48 ,0,0.00 ,2287
中埔鄉,9228,37.92 ,15109,62.08 ,0,0.00 ,24337
六腳鄉,4828,31.44 ,10529,68.56 ,0,0.00 ,15357
太保市,6556,36.60 ,11355,63.40 ,0,0.00 ,17911
水上鄉,11738,42.39 ,15955,57.61 ,0,0.00 ,27693
布袋鎮,8004,41.70 ,11188,58.30 ,0,0.00 ,19192
民雄鄉,13600,39.31 ,20998,60.69 ,0,0.00 ,34598
朴子市,8828,37.26 ,14864,62.74 ,0,0.00 ,23692
竹崎鄉,6985,34.95 ,13001,65.05 ,0,0.00 ,19986
阿里山鄉,1415,48.71 ,1490,51.29 ,0,0.00 ,2905
東石鄉,7193,42.49 ,9735,57.51 ,0,0.00 ,16928
梅山鄉,3542,30.56 ,8050,69.44 ,0,0.00 ,11592
鹿草鄉,3370,33.68 ,6637,66.32 ,0,0.00 ,10007
番路鄉,2362,36.94 ,4032,63.06 ,0,0.00 ,6394
新港鄉,5400,30.96 ,12042,69.04 ,0,0.00 ,17442
溪口鄉,2483,27.86 ,6431,72.14 ,0,0.00 ,8914
義竹鄉,5042,35.29 ,9245,64.71 ,0,0.00 ,14287
候選人,陳明振,陳明文,,,,,
當選人,陳明文,民進黨,,,,,
