行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum,,,,,,,,
　南竿鄉,3270,98.85 ,0,0,38,1.15 ,3308,,,,,,,,
　北竿鄉,1035,97.64 ,0,0,25,2.36 ,1060,,,,,,,,
　莒光鄉,504,98.05 ,0,0,10,1.95 ,514,,,,,,,,
　東引鄉,595,99.17 ,0,0,5,0.83 ,600,,,,,,,,
候選人,楊綏生,,,,,,,,,,,,,,
當選人,楊綏生,國民黨,,,,,,,,,,,,,
