行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
南竿鄉,"1,943",58.74 ,"1,327",40.11,38,1.15,3308
北竿鄉,608,57.36 ,427,40.28,25,2.36,1060
莒光鄉,310,60.31 ,194,37.74,10,1.95,514
東引鄉,274,45.67 ,321,53.5,5,0.83,600
候選人,楊綏生,劉增應,,,,,
當選人,楊綏生,國民黨,,,,,
