行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
東區,"33,764",54.10 ,"27,221",43.62 ,"1,427",2.29 ,"62,412"
西區,"36,198",50.54 ,"34,047",47.54 ,"1,374",1.92 ,"71,619"
候選人,黃敏惠,涂醒哲,,,,,
當選人,黃敏惠,國民黨,,,,,
