行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
　東區,"43,487",59.10 ,"27,969",38.01 ,"2,132",2.90 ,"73,588"
　北區,"33,588",54.52 ,"26,057",42.30 ,"1,961",3.18 ,"61,606"
　香山區,"15,592",49.71 ,"14,796",47.17 ,981,3.13 ,"31,369"
候選人,許明財,劉俊秀,,,,,
當選人,許明財,國民黨,,,,,
