行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
西區,"19,821",32.16,"9,308",15.1,"32,513",52.74,"61,642"
東區,"21,793",37.41,"5,131",8.81,"31,328",53.77,"58,252"
候選人,江清馦,黃正男,陳麗貞,,,,
當選人,陳麗貞,無,,,,,
