行政區別,KMT-votes,KMT-ratio,DPP-votes,DPP-ratio,Other-votes,Other-ratio,sum
北竿鄉,282,31.23,-,-,621,68.77,903
東引鄉,176,47.44,-,-,195,52.56,371
南竿鄉,"1,377",47.58,-,-,"1,517",52.42,"2,894"
莒光鄉,184,46,-,-,216,54,400
候選人,劉立群,,陳雪生,,,,
當選人,陳雪生,親民黨,,,,,
